ward
[UNK]
nan
Xã Đức Thượng
Xã Đức Giang
Xã Đỗ Động
Xã Đồng Quang
Xã Đặng Xá
Xã Đại áng
Xã Đại Thành
Xã Đông Yên
Xã Đông Xuân
Xã Đông Mỹ
Xã Đông La
Xã Đông Hội
Xã Đông Dư
Xã Đa Tốn
Xã Yên Viên
Xã Yên Thường
Xã Xuân Nộn
Xã Xuân Giang
Xã Vạn Phúc
Xã Vĩnh Quỳnh
Xã Vĩnh Ngọc
Xã Văn Bình
Xã Võng La
Xã Vân Tảo
Xã Vân Nội
Xã Vân Côn
Xã Vân Canh
Xã Uy Nỗ
Xã Tứ Hiệp
Xã Tả Thanh Oai
Xã Tân Triều
Xã Tân Lập
Xã Tiền Phong
Xã Tiên Dược
Xã Thạch Hoà
Xã Thanh Liệt
Xã Tam Đồng
Xã Tam Hưng
Xã Tam Hiệp
Xã Sơn Đông
Xã Sài Sơn
Xã Song Phương
Xã Quang Tiến
Xã Phụng Châu
Xã Phương Đình
Xã Phương Trung
Xã Phú Minh
Xã Phú Cường
Xã Phú Châu
Xã Phù Đổng
Xã Phù Lỗ
Xã Phù Linh
Xã Ninh Sở
Xã Nhị Khê
Xã Ngọc Tảo
Xã Ngọc Hồi
Xã Ngũ Hiệp
Xã Nguyên Khê
Xã Nam Hồng
Xã Mê Linh
Xã Minh Phú
Xã Minh Khai
Xã Mai Đình
Xã Mai Lâm
Xã Lại Yên
Xã Liên Ninh
Xã La Phù
Xã Kiêu Kỵ
Xã Kim Sơn
Xã Kim Nỗ
Xã Kim Hoa
Xã Kim Chung
Xã Hữu Hoà
Xã Hợp Thanh
Xã Hải Bối
Xã Hoàng Văn Thụ
Xã Dương Xá
Xã Dương Quang
Xã Dương Liễu
Xã Duyên Hà
Xã Di Trạch
Xã Cự Khê
Xã Cổ Đông
Xã Cổ Bi
Xã Bắc Hồng
Xã Bích Hòa
Xã Bát Tràng
Xã An Thượng
Xã An Khánh
Thị trấn Đông Anh
Thị trấn Yên Viên
Thị trấn Xuân Mai
Thị trấn Văn Điển
Thị trấn Trạm Trôi
Thị trấn Trâu Quỳ
Thị trấn Thường Tín
Thị trấn Sóc Sơn
Thị trấn Phú Xuyên
Thị trấn Phùng
Thị trấn Liên Quan
Thị trấn Kim Bài
Thị trấn Chúc Sơn
Phường Đức Thắng
Phường Đức Giang
Phường Đội Cấn
Phường Đồng Xuân
Phường Đồng Tâm
Phường Đồng Nhân
Phường Đồng Mai
Phường Đống Mác
Phường Định Công
Phường Đại Mỗ
Phường Đại Kim
Phường Đông Ngạc
Phường Điện Biên
Phường Ô Chợ Dừa
Phường Yết Kiêu
Phường Yên Sở
Phường Yên Phụ
Phường Yên Nghĩa
Phường Yên Hoà
Phường Xuân Đỉnh
Phường Xuân Tảo
Phường Xuân Phương
Phường Xuân La
Phường Vạn Phúc
Phường Vĩnh Tuy
Phường Vĩnh Phúc
Phường Vĩnh Hưng
Phường Văn Quán
Phường Văn Miếu
Phường Văn Chương
Phường Việt Hưng
Phường Tứ Liên
Phường Tương Mai
Phường Tây Tựu
Phường Tây Mỗ
Phường Tân Mai
Phường Trần Phú
Phường Trần Hưng Đạo
Phường Trương Định
Phường Trúc Bạch
Phường Tràng Tiền
Phường Trung Văn
Phường Trung Tự
Phường Trung Phụng
Phường Trung Liệt
Phường Trung Hoà
Phường Thụy Phương
Phường Thụy Khuê
Phường Thổ Quan
Phường Thịnh Quang
Phường Thịnh Liệt
Phường Thạch Bàn
Phường Thượng Đình
Phường Thượng Thanh
Phường Thượng Cát
Phường Thành Công
Phường Thanh Xuân Trung
Phường Thanh Xuân Nam
Phường Thanh Xuân Bắc
Phường Thanh Trì
Phường Thanh Nhàn
Phường Thanh Lương
Phường Sài Đồng
Phường Quỳnh Mai
Phường Quỳnh Lôi
Phường Quốc Tử Giám
Phường Quảng An
Phường Quán Thánh
Phường Quang Trung
Phường Quan Hoa
Phường Phố Huế
Phường Phạm Đình Hổ
Phường Phương Mai
Phường Phương Liệt
Phường Phương Liên
Phường Phương Canh
Phường Phúc Đồng
Phường Phúc Xá
Phường Phúc Tân
Phường Phúc Lợi
Phường Phúc La
Phường Phúc Diễn
Phường Phú Đô
Phường Phú Thịnh
Phường Phú Thượng
Phường Phú Lương
Phường Phú Lãm
Phường Phú La
Phường Phú Diễn
Phường Phan Chu Trinh
Phường Nhật Tân
Phường Nhân Chính
Phường Ngọc Thụy
Phường Ngọc Lâm
Phường Ngọc Khánh
Phường Ngọc Hà
Phường Ngô Thì Nhậm
Phường Ngô Quyền
Phường Ngã Tư Sở
Phường Nguyễn Trãi
Phường Nguyễn Trung Trực
Phường Nguyễn Du
Phường Nghĩa Đô
Phường Nghĩa Tân
Phường Nam Đồng
Phường Mỹ Đình 2
Phường Mỹ Đình 1
